FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
Value (index),,,,,
Value (index),,Value (index),,,
Value (index),,,,,
Afghanistan,2,Political stability and absence of violence/terrorism (index),21032,"-2.70, index ()",
Value (index),,,,,
Albania,3,Political stability and absence of violence/terrorism (index),21032,"-0.05, index ()",
Value (index),,,,,
Algeria,4,Political stability and absence of violence/terrorism (index),21032,"-1.23, index ()",
Value (index),,,,,
American Samoa,5,Political stability and absence of violence/terrorism (index),21032,"0.96, index ()",
Value (index),,,,,
Andorra,6,Political stability and absence of violence/terrorism (index),21032,"1.32, index ()",
Value (index),,,,,
Angola,7,Political stability and absence of violence/terrorism (index),21032,"-0.32, index ()",
Value (index),,,,,
Anguilla,258,Political stability and absence of violence/terrorism (index),21032,"0.92, index ()",
Value (index),,,,,
Antigua and Barbuda,8,Political stability and absence of violence/terrorism (index),21032,"0.75, index ()",
Value (index),,,,,
Argentina,9,Political stability and absence of violence/terrorism (index),21032,"-0.16, index ()",
Value (index),,,,,
Armenia,1,Political stability and absence of violence/terrorism (index),21032,"0.21, index ()",
Value (index),,,,,
Aruba,22,Political stability and absence of violence/terrorism (index),21032,"1.14, index ()",
Value (index),,,,,
Australia,10,Political stability and absence of violence/terrorism (index),21032,"0.75, index ()",
Value (index),,,,,
Austria,11,Political stability and absence of violence/terrorism (index),21032,"1.17, index ()",
Value (index),,,,,
Azerbaijan,52,Political stability and absence of violence/terrorism (index),21032,"-0.39, index ()",
Value (index),,,,,
Bahamas,12,Political stability and absence of violence/terrorism (index),21032,"0.87, index ()",
Value (index),,,,,
Bahrain,13,Political stability and absence of violence/terrorism (index),21032,"-0.09, index ()",
Value (index),,,,,
Bangladesh,16,Political stability and absence of violence/terrorism (index),21032,"-1.57, index ()",
Value (index),,,,,
Barbados,14,Political stability and absence of violence/terrorism (index),21032,"1.07, index ()",
Value (index),,,,,
Belarus,57,Political stability and absence of violence/terrorism (index),21032,"0.46, index ()",
Value (index),,,,,
Belgium,255,Political stability and absence of violence/terrorism (index),21032,"0.81, index ()",
Value (index),,,,,
Belize,23,Political stability and absence of violence/terrorism (index),21032,"0.03, index ()",
Value (index),,,,,
Benin,53,Political stability and absence of violence/terrorism (index),21032,"0.42, index ()",
Value (index),,,,,
Bermuda,17,Political stability and absence of violence/terrorism (index),21032,"0.72, index ()",
Value (index),,,,,
Bhutan,18,Political stability and absence of violence/terrorism (index),21032,"0.82, index ()",
Value (index),,,,,
Bolivia (Plurinational State of),19,Political stability and absence of violence/terrorism (index),21032,"-0.52, index ()",
Value (index),,,,,
Bosnia and Herzegovina,80,Political stability and absence of violence/terrorism (index),21032,"-0.66, index ()",
Value (index),,,,,
Botswana,20,Political stability and absence of violence/terrorism (index),21032,"0.95, index ()",
Value (index),,,,,
Brazil,21,Political stability and absence of violence/terrorism (index),21032,"0.23, index ()",
Value (index),,,,,
Brunei Darussalam,26,Political stability and absence of violence/terrorism (index),21032,"1.36, index ()",
Value (index),,,,,
Bulgaria,27,Political stability and absence of violence/terrorism (index),21032,"0.37, index ()",
Value (index),,,,,
Burkina Faso,233,Political stability and absence of violence/terrorism (index),21032,"0.01, index ()",
Value (index),,,,,
Burundi,29,Political stability and absence of violence/terrorism (index),21032,"-1.26, index ()",
Value (index),,,,,
Cabo Verde,35,Political stability and absence of violence/terrorism (index),21032,"0.84, index ()",
Value (index),,,,,
Cambodia,115,Political stability and absence of violence/terrorism (index),21032,"-0.66, index ()",
Value (index),,,,,
Cameroon,32,Political stability and absence of violence/terrorism (index),21032,"-0.37, index ()",
Value (index),,,,,
Canada,33,Political stability and absence of violence/terrorism (index),21032,"1.11, index ()",
Value (index),,,,,
Cayman Islands,36,Political stability and absence of violence/terrorism (index),21032,"1.13, index ()",
Value (index),,,,,
Central African Republic,37,Political stability and absence of violence/terrorism (index),21032,"-2.05, index ()",
Value (index),,,,,
Chad,39,Political stability and absence of violence/terrorism (index),21032,"-1.63, index ()",
Value (index),,,,,
Chile,40,Political stability and absence of violence/terrorism (index),21032,"0.56, index ()",
Value (index),,,,,
"China, Taiwan Province of",214,Political stability and absence of violence/terrorism (index),21032,"0.50, index ()",
Value (index),,,,,
China,351,Political stability and absence of violence/terrorism (index),21032,"-0.55, index ()",
Value (index),,,,,
Colombia,44,Political stability and absence of violence/terrorism (index),21032,"-1.75, index ()",
Value (index),,,,,
Comoros,45,Political stability and absence of violence/terrorism (index),21032,"-0.74, index ()",
Value (index),,,,,
Congo,46,Political stability and absence of violence/terrorism (index),21032,"-0.19, index ()",
Value (index),,,,,
Cook Islands,47,Political stability and absence of violence/terrorism (index),21032,"1.28, index ()",
Value (index),,,,,
Costa Rica,48,Political stability and absence of violence/terrorism (index),21032,"0.58, index ()",
Value (index),,,,,
Croatia,98,Political stability and absence of violence/terrorism (index),21032,"0.58, index ()",
Value (index),,,,,
Cuba,49,Political stability and absence of violence/terrorism (index),21032,"0.32, index ()",
Value (index),,,,,
Cyprus,50,Political stability and absence of violence/terrorism (index),21032,"0.35, index ()",
Value (index),,,,,
Czech Republic,167,Political stability and absence of violence/terrorism (index),21032,"0.90, index ()",
Value (index),,,,,
C™te d Ivoire,107,Political stability and absence of violence/terrorism (index),21032,"-1.31, index ()",
Value (index),,,,,
Democratic People s Republic of Korea,116,Political stability and absence of violence/terrorism (index),21032,"-0.06, index ()",
Value (index),,,,,
Democratic Republic of the Congo,250,Political stability and absence of violence/terrorism (index),21032,"-1.95, index ()",
Value (index),,,,,
Denmark,54,Political stability and absence of violence/terrorism (index),21032,"0.99, index ()",
Value (index),,,,,
Djibouti,72,Political stability and absence of violence/terrorism (index),21032,"0.50, index ()",
Value (index),,,,,
Dominica,55,Political stability and absence of violence/terrorism (index),21032,"0.72, index ()",
Value (index),,,,,
Dominican Republic,56,Political stability and absence of violence/terrorism (index),21032,"0.12, index ()",
Value (index),,,,,
Ecuador,58,Political stability and absence of violence/terrorism (index),21032,"-0.69, index ()",
Value (index),,,,,
Egypt,59,Political stability and absence of violence/terrorism (index),21032,"-0.63, index ()",
Value (index),,,,,
El Salvador,60,Political stability and absence of violence/terrorism (index),21032,"-0.01, index ()",
Value (index),,,,,
Equatorial Guinea,61,Political stability and absence of violence/terrorism (index),21032,"0.38, index ()",
Value (index),,,,,
Eritrea,178,Political stability and absence of violence/terrorism (index),21032,"-0.67, index ()",
Value (index),,,,,
Estonia,63,Political stability and absence of violence/terrorism (index),21032,"0.56, index ()",
Value (index),,,,,
Ethiopia,238,Political stability and absence of violence/terrorism (index),21032,"-1.73, index ()",
Value (index),,,,,
Fiji,66,Political stability and absence of violence/terrorism (index),21032,"-0.25, index ()",
Value (index),,,,,
Finland,67,Political stability and absence of violence/terrorism (index),21032,"1.42, index ()",
Value (index),,,,,
France,68,Political stability and absence of violence/terrorism (index),21032,"0.52, index ()",
Value (index),,,,,
